GroupID,Date,Elo_stability,FishID,Elo_daily
101,2020-01-17,0.9986,6_BR,881
101,2020-01-17,0.9986,8_BY,1119
101,2020-01-17,0.9986,9_GG,1000
101,2020-01-18,0.9986,6_BR,881
101,2020-01-18,0.9986,8_BY,923
101,2020-01-18,0.9986,9_GG,1196
101,2020-01-19,0.9986,6_BR,881
101,2020-01-19,0.9986,8_BY,923
101,2020-01-19,0.9986,9_GG,1196
101,2020-01-20,0.9986,6_BR,868
101,2020-01-20,0.9986,8_BY,923
101,2020-01-20,0.9986,9_GG,1209
101,2020-01-21,0.9986,6_BR,868
101,2020-01-21,0.9986,8_BY,907
101,2020-01-21,0.9986,9_GG,1225
101,2020-01-22,0.9986,6_BR,868
101,2020-01-22,0.9986,8_BY,907
101,2020-01-22,0.9986,9_GG,1225
101,2020-01-23,0.9986,6_BR,868
101,2020-01-23,0.9986,8_BY,883
101,2020-01-23,0.9986,9_GG,1249
101,2020-01-24,0.9986,6_BR,851
101,2020-01-24,0.9986,8_BY,842
101,2020-01-24,0.9986,9_GG,1307
101,2020-01-25,0.9986,6_BR,851
101,2020-01-25,0.9986,8_BY,842
101,2020-01-25,0.9986,9_GG,1307
101,2020-01-26,0.9986,6_BR,851
101,2020-01-26,0.9986,8_BY,842
101,2020-01-26,0.9986,9_GG,1307
101,2020-01-27,0.9986,6_BR,851
101,2020-01-27,0.9986,8_BY,842
101,2020-01-27,0.9986,9_GG,1307
101,2020-01-28,0.9986,6_BR,851
101,2020-01-28,0.9986,8_BY,842
101,2020-01-28,0.9986,9_GG,1307
101,2020-01-29,0.9986,6_BR,851
101,2020-01-29,0.9986,8_BY,842
101,2020-01-29,0.9986,9_GG,1307
101,2020-01-30,0.9986,6_BR,851
101,2020-01-30,0.9986,8_BY,842
101,2020-01-30,0.9986,9_GG,1307
101,2020-01-31,0.9986,6_BR,851
101,2020-01-31,0.9986,8_BY,842
101,2020-01-31,0.9986,9_GG,1307
101,2020-02-01,0.9986,6_BR,851
101,2020-02-01,0.9986,8_BY,842
101,2020-02-01,0.9986,9_GG,1307
101,2020-02-02,0.9986,6_BR,851
101,2020-02-02,0.9986,8_BY,842
101,2020-02-02,0.9986,9_GG,1307
101,2020-02-03,0.9986,6_BR,851
101,2020-02-03,0.9986,8_BY,842
101,2020-02-03,0.9986,9_GG,1307
101,2020-02-04,0.9986,6_BR,851
101,2020-02-04,0.9986,8_BY,842
101,2020-02-04,0.9986,9_GG,1307
101,2020-02-05,0.9986,6_BR,851
101,2020-02-05,0.9986,8_BY,842
101,2020-02-05,0.9986,9_GG,1307
101,2020-02-06,0.9986,6_BR,851
101,2020-02-06,0.9986,8_BY,842
101,2020-02-06,0.9986,9_GG,1307
101,2020-02-07,0.9986,6_BR,851
101,2020-02-07,0.9986,8_BY,842
101,2020-02-07,0.9986,9_GG,1307
101,2020-02-08,0.9986,6_BR,851
101,2020-02-08,0.9986,8_BY,842
101,2020-02-08,0.9986,9_GG,1307
101,2020-02-09,0.9986,6_BR,851
101,2020-02-09,0.9986,8_BY,842
101,2020-02-09,0.9986,9_GG,1307
101,2020-02-10,0.9986,6_BR,851
101,2020-02-10,0.9986,8_BY,842
101,2020-02-10,0.9986,9_GG,1307
101,2020-02-11,0.9986,6_BR,851
101,2020-02-11,0.9986,8_BY,842
101,2020-02-11,0.9986,9_GG,1307
101,2020-02-12,0.9986,6_BR,851
101,2020-02-12,0.9986,8_BY,842
101,2020-02-12,0.9986,9_GG,1307
101,2020-02-13,0.9986,6_BR,851
101,2020-02-13,0.9986,8_BY,842
101,2020-02-13,0.9986,9_GG,1307
101,2020-02-14,0.9986,6_BR,851
101,2020-02-14,0.9986,8_BY,842
101,2020-02-14,0.9986,9_GG,1307
101,2020-02-15,0.9986,6_BR,851
101,2020-02-15,0.9986,8_BY,842
101,2020-02-15,0.9986,9_GG,1307
101,2020-02-16,0.9986,6_BR,851
101,2020-02-16,0.9986,8_BY,842
101,2020-02-16,0.9986,9_GG,1307
101,2020-02-17,0.9986,6_BR,851
101,2020-02-17,0.9986,8_BY,842
101,2020-02-17,0.9986,9_GG,1307
101,2020-02-18,0.9986,6_BR,851
101,2020-02-18,0.9986,8_BY,842
101,2020-02-18,0.9986,9_GG,1307
101,2020-02-19,0.9986,6_BR,851
101,2020-02-19,0.9986,8_BY,842
